persona_id,archetype,lens,rep_acc,rep_act,rep_dif,rep_tru,thu_acc,thu_act,thu_dif,thu_tru,det_acc,det_act,det_dif,det_tru,best_asset,wtp,wtp_krw,nps,revisit,rep_act_on_it,loop_felt,loop_one_service,slides_received,slides_usable,rep_new_insight,changed_from_before,rep_blocks_read,rep_blocks_skipped,invalid_flags
P01,A,-,4,5,4,3,3,3,2,4,5,4,5,5,report,Y,300000,6,Y,PARTIAL,PARTIAL,Y,Y,PARTIAL,Y,N,"블록1 종합점수, 블록3 薬機法 전수 감사, 블록2 구매 반대 이유, 블록7 재작성, 블록9 가격표","블록4 카테고리 경쟁 벤치마크, 블록5 A~E 루브릭 점수, 블록6 정보공백→의문→이탈, 썸네일 스타일 분포",
P02,A,-,3,4,3,4,3,3,2,4,4,4,3,3,report,Y,300000,6,Y,PARTIAL,N,N,Y,PARTIAL,Y,Y,"블록2 페르소나·구매여정, 블록4 카테고리 벤치마크, 블록6 정보공백→의문→이탈, 블록9 다음 단계·가격표","블록1 종합점수, 블록3 薬機法 감사, 블록5 문법 점수, 블록7 NG/OK 재작성, 블록8 비포애프터, 관례 실물 이미지, 썸네일 스타일 분포",
P03,A,-,5,5,4,4,3,4,4,3,4,5,5,4,report,Y,300000,7,Y,Y,PARTIAL,N,Y,Y,Y,N,"블록1,블록3,블록7,블록9","블록2,블록5,블록6",
P04,A,-,3,4,4,3,4,3,4,4,4,3,4,4,detail,Y,300000,6,Y,PARTIAL,PARTIAL,N,Y,PARTIAL,Y,N,"블록1 종합점수,블록2 구매반대이유·USP재정의,블록3 약기법전수감사,블록7 재작성,블록9 할일+가격표","블록4 카테고리경쟁벤치마크,블록5 A~E루브릭점수표,블록6 정보공백→이탈,썸네일스타일분포",
P05,A,ai_resist,4,4,4,3,4,4,2,4,3,4,4,3,report,Y,300000,6,Y,PARTIAL,N,N,Y,Y,Y,N,"블록1 종합점수,블록2 페르소나·USP재정의,블록3 薬機法전수감사,블록7 재작성,블록9 지금할일+가격","블록0 요약표지,시장탭 관례카드·썸네일분포,블록4 벤치마크갭,블록5 A~E루브릭세부,블록6 정보공백→이탈,블록8 하이라이트재구성",
P06,A,-,4,4,4,4,3,5,4,4,5,5,5,4,detail,Y,300000,7,Y,PARTIAL,PARTIAL,Y,Y,PARTIAL,Y,N,"블록1 종합점수, 블록3 약기법 전수감사, 블록7 재작성, 블록9 할일·가격","블록2 페르소나 여정, 블록4 카테고리 벤치마크, 블록5 A~E 루브릭 세부점수, 블록6 정보공백→의문→이탈, 블록8 하이라이트 재구성",
P07,A,-,4,3,4,4,3,2,2,4,3,4,4,4,report,Y,300000,6,Y,PARTIAL,N,N,Y,PARTIAL,Y,N,"블록2 페르소나·USP재정의, 블록4 카테고리경쟁벤치마크, 블록6 정보공백→의문→이탈","블록0 품의용요약표지, 썸네일스타일분포, 블록1 종합점수, 블록3 薬機法전수감사, 블록5 일본문법진단점수, 블록7 NG/OK재작성, 블록8 비포애프터샘플, 블록9 Before/After예시",
P08,A,approval,4,4,4,4,3,2,2,3,4,4,4,4,report,Y,300000,7,Y,PARTIAL,PARTIAL,N,Y,PARTIAL,Y,N,"블록0 품의용 요약 표지,블록1 종합점수,블록3 薬機法 전수 감사,블록7 재작성,블록9 지금 할 일·가격표,블록2 구매 반대 이유·USP 재정의","블록5 A~E 루브릭 세부 점수,블록6 정보공백→의문→이탈,블록8 하이라이트 재구성,시장탭 관례 실물·썸네일 스타일 분포",
P09,B,-,4,5,4,3,4,3,4,4,5,4,4,4,report,Y,300000,6,Y,PARTIAL,PARTIAL,N,Y,Y,Y,N,"블록1 종합점수, 블록3 薬機法 감사, 블록7 재작성, 블록8 헤드라인 재구성, 블록9 지금 할 일+가격","블록2 페르소나 여정, USP 재정의 표, 블록4 벤치마크 갭, 블록5 A~E 루브릭 세부점수, 블록6 정보공백→이탈, 썸네일 스타일 분포",
P10,B,approval,4,4,4,3,5,3,4,4,4,3,3,4,report,Y,300000,6,Y,PARTIAL,PARTIAL,N,Y,PARTIAL,Y,Y,"블록0 품의용 요약 표지, 블록1 종합점수, 블록3 薬機法 감사, 블록7 문장 재작성, 블록9 할 일·가격표","블록4 벤치마크 표, 블록2 페르소나 서사, 블록5 A~E 루브릭 세부점수, 블록6 정보공백→의문→이탈, 블록8 헤드라인 재구성",
P11,B,-,3,4,4,4,4,3,5,4,3,4,5,4,report,Y,300000,6,Y,Y,N,N,Y,PARTIAL,Y,N,"블록1,블록2 탐색단계,블록3,블록7,블록9","블록4,블록5,블록6,블록8,시장탭 관례실물·썸네일분포",
P12,B,no_jp,4,5,4,4,3,3,4,3,4,3,4,4,report,Y,300000,7,Y,PARTIAL,N,N,Y,PARTIAL,Y,Y,"블록1 종합점수,블록3 薬機法전수감사,블록2 USP재정의표,블록7 재작성5건,블록9 할일·가격","시장관례3원칙,썸네일스타일분포,블록4 벤치마크표,블록5 루브릭세부점수,블록6 정보공백표,블록8 헤드라인통합본",
P13,B,ai_resist,4,5,4,3,4,3,4,4,4,4,5,5,report,Y,300000,7,Y,PARTIAL,PARTIAL,Y,Y,PARTIAL,Y,N,"블록1 종합점수,블록3 薬機法 전수감사,블록7 문장별 재작성,블록9 할일+가격","블록2 페르소나 여정,블록4 벤치마크 갭 표,블록5 A~E 루브릭 세부,블록6 정보공백→이탈,블록8 하이라이트 재구성",
P14,B,approval,4,4,4,3,5,4,4,5,4,4,5,4,report,Y,300000,6,Y,PARTIAL,PARTIAL,Y,Y,PARTIAL,Y,Y,"블록1 종합점수, 블록3 薬機法 전수감사, 블록7 재작성, 블록9 다음 단계·가격","블록2 페르소나 여정, 블록4 검색어휘·썸네일분포, 블록5 A~E 세부 루브릭, 블록6 정보공백표",
P15,C,approval,4,5,4,4,4,3,4,4,3,3,5,4,report,Y,300000,6,Y,Y,PARTIAL,N,Y,PARTIAL,Y,Y,"블록1 종합점수, 블록3 薬機法 전수 감사, 블록7 재작성 Before/After, 블록9 지금 할 일·가격, 블록2 페르소나·USP 재정의","블록4 카테고리 경쟁 벤치마크, 블록5 A~E 루브릭 세부, 블록6 정보공백→의문→이탈, 블록8 하이라이트 재구성, 시장탭 관례카드·썸네일 스타일 분포",
P16,C,-,4,4,4,4,4,3,4,4,4,4,4,4,report,Y,300000,7,Y,PARTIAL,PARTIAL,N,Y,PARTIAL,Y,Y,"블록3 薬機法 표현 전수 감사, 블록7 재작성, 블록2 구매 반대 이유·USP 재정의","시장탭 관례 실물, 썸네일 스타일 분포, 블록5 루브릭 세부 점수, 블록6 정보공백→의문→이탈, 블록8 하이라이트 재구성",
P17,C,approval;no_jp,3,4,4,4,3,3,4,4,4,4,5,4,report,Y,300000,6,Y,PARTIAL,N,N,Y,PARTIAL,Y,Y,"블록0,블록1,블록3,블록7,블록9","블록2,블록4,블록5,블록6,블록8",
P18,C,-,4,4,4,4,3,3,4,3,5,5,5,4,report,Y,300000,6,Y,PARTIAL,PARTIAL,N,Y,Y,Y,Y,"블록1 종합점수,블록3 약기법 전수감사,블록7 재작성 Before/After,블록9 할일·가격","블록2 페르소나 여정,블록4 검색어·썸네일분포,블록5 루브릭 세부점수,블록6 정보공백→이탈",
P19,D,ai_resist;no_jp,3,4,3,2,4,3,2,3,4,3,3,3,detail,N,0,4,Y,PARTIAL,N,N,Y,PARTIAL,Y,N,"블록2 페르소나·USP재정의, 블록4 카테고리벤치마크, 블록9 할일·가격","블록1 잠김카드 반복, 시장탭 관례실물·썸네일분포, 블록6 정보공백→의문→이탈",
P20,D,ai_resist;no_jp,3,2,4,4,4,2,3,4,4,3,4,4,detail,N,0,3,Y,PARTIAL,N,N,Y,PARTIAL,Y,N,"블록0,블록2,블록4,블록6","블록1,블록3,블록5,블록7,블록8,블록9",
