persona_id,archetype,lens,track,task_id,outcome,satisfaction,dropoff_step,elapsed_sec,blocker
P01,A,-,A,T0,완료,4,,18,
P01,A,-,A,T1,완료,4,,4,
P01,A,-,A,T2,완료,3,,10,
P01,A,-,A,T3,제외,4,,30,리포트 파이프라인 P0 로 과업 제외
P01,A,-,A,T4,완료,3,,6,apiRequestContext.get: Invalid URL
P01,A,-,A,T5,완료,5,블록구성확인,10,apiRequestContext.get: Invalid URL
P01,A,-,A,T6,완료,4,기업매칭,10,
P01,A,-,A,T7,완료,3,,1,
P02,A,-,A,T0,완료,4,,15,
P02,A,-,A,T1,완료,5,,2,
P02,A,-,A,T2,완료,4,,5,
P02,A,-,A,T3,제외,3,,17,리포트 파이프라인 P0 로 과업 제외
P02,A,-,A,T4,완료,3,,8,
P02,A,-,A,T5,완료,4,,19,
P02,A,-,A,T6,완료,3,시즌캘린더,10,
P02,A,-,A,T7,완료,3,,1,
P03,A,-,A,T0,완료,4,,16,
P03,A,-,A,T1,완료,5,,2,
P03,A,-,A,T2,완료,4,,5,
P03,A,-,A,T3,제외,4,,32,리포트 파이프라인 P0 로 과업 제외
P03,A,-,A,T4,완료,4,,8,
P03,A,-,A,T5,완료,5,블록구성확인,13,
P03,A,-,A,T6,완료,4,,10,
P03,A,-,A,T7,완료,3,마이페이지,1,
P04,A,-,A,T0,완료,3,,16,
P04,A,-,A,T1,완료,5,,2,
P04,A,-,A,T2,완료,4,,5,
P04,A,-,A,T3,제외,3,,23,리포트 파이프라인 P0 로 과업 제외
P04,A,-,A,T4,완료,4,,8,
P04,A,-,A,T5,완료,3,상세페이지 생성중,10,
P04,A,-,A,T6,완료,4,,10,
P04,A,-,A,T7,완료,4,,1,
P05,A,ai_resist,A,T0,완료,4,,16,
P05,A,ai_resist,A,T1,완료,5,,2,
P05,A,ai_resist,A,T2,완료,4,,5,
P05,A,ai_resist,A,T3,제외,4,,32,리포트 파이프라인 P0 로 과업 제외
