persona_id,kind,status,variant,elapsed_sec,ai_cuts,degraded_cuts,retry,error
P01,report,published,brandProduct,6,,,1,"locator.innerHTML: Target page, context or browser has been closed"
P01,thumbnail,done,B,103,,,3,apiRequestContext.get: Invalid URL
P01,detail,done,D1,210,5,0,4,apiRequestContext.get: Invalid URL
P02,report,published,brand,122,,,0,
P02,thumbnail,done,A,87,,,0,
P02,detail,done,D5,171,4,0,0,
P03,report,published,brandProduct,239,,,0,
P03,thumbnail,done,G,87,,,0,
P03,detail,done,D2,180,3,0,0,
P04,report,published,brandProduct,221,,,0,
P04,thumbnail,done,D,100,,,0,
P04,detail,done,D4,143,2,0,0,
P05,report,published,brandProduct,260,,,0,
P05,thumbnail,done,A,61,,,0,
P05,detail,done,D3,156,4,0,0,
P06,report,published,brandProduct,244,,,0,
P06,thumbnail,done,D,151,,,0,
P06,detail,done,D6,183,4,0,0,
P07,report,published,brand,104,,,0,
P07,thumbnail,done,B,105,,,0,
P07,detail,done,D6,151,4,0,0,
P08,report,published,brandProduct,231,,,0,
P08,thumbnail,done,B,72,,,0,
P08,detail,done,D5,197,3,1,0,
P09,report,published,brandProduct,256,,,0,
P09,thumbnail,done,D,110,,,0,
P09,detail,done,D1,183,5,0,0,
P10,report,published,brandProduct,241,,,0,
P10,thumbnail,done,E,72,,,0,
P10,detail,done,D4,115,2,0,0,
P11,report,published,brandProduct,260,,,0,
P11,thumbnail,done,D,122,,,0,
P11,detail,done,D2,172,3,0,0,
P12,report,published,brandProduct,241,,,0,
P12,thumbnail,done,G,168,,,0,
P12,detail,done,D4,124,2,0,1,
P13,report,published,brandProduct,234,,,0,
P13,thumbnail,done,C,84,,,0,
P13,detail,done,D6,169,4,0,0,
P14,report,published,brandProduct,207,,,0,
P14,thumbnail,done,E,90,,,0,
P14,detail,done,D1,165,5,0,1,
P15,report,published,brandProduct,243,,,0,
P15,thumbnail,done,H,88,,,0,
P15,detail,done,D2,165,3,0,0,
P16,report,published,brandProduct,229,,,0,
P16,thumbnail,done,G,150,,,0,
P16,detail,done,D4,142,2,0,1,
P17,report,published,brandProduct,212,,,0,
P17,thumbnail,done,C,107,,,0,
P17,detail,done,D3,187,4,0,1,
P18,report,published,brandProduct,230,,,0,
P18,thumbnail,done,H,102,,,0,
P18,detail,done,D1,201,5,0,1,"page.waitForURL: Target page, context or browser has been closed"
P19,report,published,brand,96,,,0,
P19,thumbnail,done,A,61,,,0,
P19,detail,done,D5,169,4,0,0,
P20,report,published,brand,134,,,0,
P20,thumbnail,done,H,103,,,0,
P20,detail,done,D3,187,4,0,0,
